episode,reward,length
718,-4832.098026216865,100
719,-5255.934542664007,100
720,-5688.288759433489,100
721,-6191.30036061043,100
722,-5961.633186050757,100
723,-5717.3683103231515,100
724,-6094.5802334398295,100
725,-5624.811122866555,100
726,-5873.389744505783,100
727,-6318.876697561575,100
728,-5863.936783230286,100
729,-6293.1096517537135,100
730,-6450.9636609266345,100
731,-6488.057978679307,100
732,-6057.849537228168,100
733,-5257.0081066786115,100
734,-5270.763374783895,100
735,-6041.517801197954,100
736,-5890.891053261146,100
737,-5847.895829860014,100
738,-5700.819500668345,100
739,-5065.554559227945,100
740,-5603.087591444446,100
741,-5665.746864358707,100
742,-5023.747061125838,100
743,-5288.193444735013,100
744,-5854.466554723685,100
745,-4991.916251561263,100
746,-6299.89096338983,100
747,-5679.06782387051,100
748,-6868.2856970306775,100
749,-7248.369902867565,100
750,-7745.287379477084,100
751,-7196.103061060933,100
752,-8578.858942310078,100
753,-8609.338296735961,100
754,-8173.867424190263,100
755,-6084.714454745152,100
756,-6695.171657406914,100
757,-8369.826801963269,100
758,-6059.59667198091,100
759,-6128.2820161407135,100
760,-5442.0690593615,100
761,-6536.5342190344845,100
762,-5769.201780742564,100
763,-4918.894513098273,100
764,-4937.47754861173,100
765,-4811.754954721009,100
766,-5310.513714881697,100
767,-8277.95423228971,100
768,-6458.413768116596,100
769,-5530.739468864896,100
770,-5374.055764385701,100
771,-5435.873431449172,100
772,-5838.44667363573,100
773,-5018.448349546232,100
774,-5158.445660535245,100
775,-5609.2068948743645,100
776,-5908.841775840386,100
777,-6539.601264778485,100
778,-6708.292398093448,100
779,-5088.04229600939,100
780,-6012.680709849541,100
781,-5546.479489569074,100
782,-4989.341502754575,100
783,-6184.248486918377,100
784,-5320.969998427362,100
785,-6657.459494729016,100
786,-8287.801321984793,100
787,-6835.049876448895,100
788,-8310.50028581985,100
789,-8003.477615443654,100
790,-8688.7020537518,100
791,-18.970976974372867,5
792,-6839.408729109505,100
793,-5132.482987070986,100
794,-5054.244151574672,100
795,-7974.442960487728,100
796,-6709.053620552982,100
797,-6958.126105643223,100
798,-3709.1486561109546,100
799,-4073.639700499221,100
800,-4163.24479183313,100
801,-5421.410981405638,100
802,-6763.287597435116,100
803,-7249.737987429338,100
804,-5930.881351108187,100
805,-5480.417732230811,100
806,-5824.874821923488,100
